# Distance  Fibre_OffAxis
4.08508509e-01 1.65951051e-04
4.09209209e-01 1.67473421e-04
4.09909910e-01 1.69182184e-04
4.10610611e-01 1.71015609e-04
4.11311311e-01 1.73690536e-04
4.12012012e-01 1.77389223e-04
4.12712713e-01 1.81966169e-04
4.13413413e-01 1.87275873e-04
4.14114114e-01 1.93172833e-04
4.14814815e-01 1.99511547e-04
4.15515516e-01 2.06146515e-04
4.16216216e-01 2.12932234e-04
4.16916917e-01 2.19723205e-04
4.17617618e-01 2.26373924e-04
4.18318318e-01 2.32738891e-04
4.19019019e-01 2.38672604e-04
4.19719720e-01 2.44029563e-04
4.20420420e-01 2.48672775e-04
4.21121121e-01 2.53378180e-04
4.21821822e-01 2.58339992e-04
4.22522523e-01 2.63010006e-04
4.23223223e-01 2.66840019e-04
4.23923924e-01 2.69281827e-04
4.24624625e-01 2.69844122e-04
4.25325325e-01 2.69268535e-04
4.26026026e-01 2.68060678e-04
4.26726727e-01 2.66362138e-04
4.27427427e-01 2.64314507e-04
4.28128128e-01 2.62059372e-04
4.28828829e-01 2.59738324e-04
4.29529530e-01 2.57321649e-04
4.30230230e-01 2.54228922e-04
4.30930931e-01 2.50474054e-04
4.31631632e-01 2.46144291e-04
4.32332332e-01 2.41326878e-04
4.33033033e-01 2.36109063e-04
4.33733734e-01 2.30578090e-04
4.34434434e-01 2.24821206e-04
4.35135135e-01 2.18925658e-04
4.35835836e-01 2.12978691e-04
4.36536537e-01 2.07067551e-04
4.37237237e-01 2.01279486e-04
4.37937938e-01 1.95701740e-04
4.38638639e-01 1.90421561e-04
4.39339339e-01 1.85526193e-04
4.40040040e-01 1.81102885e-04
4.40740741e-01 1.77238880e-04
4.41441441e-01 1.74021426e-04
4.42142142e-01 1.71537769e-04
4.42842843e-01 1.69809095e-04
4.43543544e-01 1.68371611e-04
4.44244244e-01 1.67097994e-04
4.44944945e-01 1.65963169e-04
4.45645646e-01 1.64942056e-04
4.46346346e-01 1.64009580e-04
4.47047047e-01 1.63140662e-04
4.47747748e-01 1.62310226e-04
4.48448448e-01 1.61493194e-04
4.49149149e-01 1.60664489e-04
4.49849850e-01 1.59799034e-04
4.50550551e-01 1.58871751e-04
4.51251251e-01 1.57857564e-04
4.51951952e-01 1.56731216e-04
4.52652653e-01 1.55460585e-04
4.53353353e-01 1.54056627e-04
4.54054054e-01 1.52550023e-04
4.54754755e-01 1.50971451e-04
4.55455455e-01 1.49351591e-04
4.56156156e-01 1.47721124e-04
4.56856857e-01 1.46110727e-04
4.57557558e-01 1.44551082e-04
4.58258258e-01 1.43072868e-04
4.58958959e-01 1.41706763e-04
4.59659660e-01 1.40483449e-04
4.60360360e-01 1.39433604e-04
4.61061061e-01 1.38587908e-04
4.61761762e-01 1.37894844e-04
4.62462462e-01 1.37212943e-04
4.63163163e-01 1.36587762e-04
4.63863864e-01 1.36071856e-04
4.64564565e-01 1.35717774e-04
4.65265265e-01 1.35578070e-04
4.65965966e-01 1.35714364e-04
4.66666667e-01 1.36134671e-04
4.67367367e-01 1.36803059e-04
4.68068068e-01 1.37683524e-04
4.68768769e-01 1.38740056e-04
4.69469469e-01 1.39936650e-04
4.70170170e-01 1.41237299e-04
4.70870871e-01 1.42605994e-04
4.71571572e-01 1.44006729e-04
4.72272272e-01 1.45569623e-04
4.72972973e-01 1.47605682e-04
4.73673674e-01 1.50052746e-04
4.74374374e-01 1.52834954e-04
4.75075075e-01 1.55876448e-04
4.75775776e-01 1.59101370e-04
4.76476476e-01 1.62433859e-04
4.77177177e-01 1.65798058e-04
4.77877878e-01 1.69118106e-04
4.78578579e-01 1.72318146e-04
4.79279279e-01 1.75322318e-04
4.79979980e-01 1.78059173e-04
4.80680681e-01 1.80854757e-04
4.81381381e-01 1.83880497e-04
4.82082082e-01 1.87040176e-04
4.82782783e-01 1.90237581e-04
4.83483483e-01 1.93376497e-04
4.84184184e-01 1.96360709e-04
4.84884885e-01 1.99094001e-04
4.85585586e-01 2.01480160e-04
4.86286286e-01 2.03422971e-04
4.86986987e-01 2.04826218e-04
4.87687688e-01 2.05593687e-04
4.88388388e-01 2.05709935e-04
4.89089089e-01 2.05709935e-04
4.89789790e-01 2.05709935e-04
4.90490490e-01 2.05709935e-04
4.91191191e-01 2.05709935e-04
4.91891892e-01 2.05709935e-04
4.92592593e-01 2.05198240e-04
4.93293293e-01 2.02469856e-04
4.93993994e-01 1.97939219e-04
4.94694695e-01 1.92232936e-04
4.95395395e-01 1.85977616e-04
4.96096096e-01 1.79799865e-04
4.96796797e-01 1.74326292e-04
4.97497497e-01 1.69230795e-04
4.98198198e-01 1.63668936e-04
4.98898899e-01 1.57757562e-04
4.99599600e-01 1.51615784e-04
5.00300300e-01 1.45362713e-04
5.01001001e-01 1.39117461e-04
5.01701702e-01 1.32999138e-04
5.02402402e-01 1.27126857e-04
5.03103103e-01 1.21619729e-04
5.03803804e-01 1.16596864e-04
5.04504505e-01 1.12177374e-04
5.05205205e-01 1.08480370e-04
5.05905906e-01 1.05624965e-04
5.06606607e-01 1.03730268e-04
5.07307307e-01 1.02580206e-04
5.08008008e-01 1.01536930e-04
5.08708709e-01 1.00629573e-04
5.09409409e-01 9.99112280e-05
5.10110110e-01 9.94349896e-05
5.10810811e-01 9.92539515e-05
